Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,country
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,8/3/2017,7.7,Hotel Arena, Russia ,397,1403,11,7,2.9,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ']",0 days,52.3605759,4.9159683,Netherlands
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,8/3/2017,8.5,K K Hotel George, Ireland ,9,1831,18,2,9.6,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 3 nights ']",0 days,51.4918878,-0.1949706,United Kingdom
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,8/2/2017,9.2,Apex Temple Court Hotel, United Kingdom ,20,2619,17,1,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Club Lounge Access and Balcony ', ' Stayed 1 night ']",1 days,51.5137335,-0.1087512,United Kingdom
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,8/2/2017,7.7,The Park Grand London Paddington, Cyprus ,30,4380,6,6,8.3,"[' Family with young children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,51.5142184,-0.1809032,United Kingdom
1 3 Rue d Argentine 16th arr 75116 Paris France,6/29/2017,8.4,Monhotel Lounge SPA, Brazil ,0,171,231,1,9.2,"[' Leisure trip ', ' Group ', ' Comfort Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",35 days,48.8743481,2.2897334,France
1 5 Passage Ruelle 18th arr 75018 Paris France,6/29/2017,7.2,Kube Hotel Ice Bar, United Kingdom ,78,197,0,2,3.3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",35 days,48.88657,2.3588332,France
1 8 Russell Square Camden London WC1B 5BE United Kingdom,8/2/2016,8.0,The Principal London, United Kingdom ,29,3150,13,1,7.1,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",366 day,51.5226217,-0.1251602,United Kingdom
1 Addington Street Lambeth London SE1 7RY United Kingdom,8/3/2017,8.4,Park Plaza County Hall London, United Kingdom ,44,6117,6,1,5.0,"[' Leisure trip ', ' Family with young children ', ' Executive Studio with London Eye View ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",0 days,51.5014001,-0.1160092,United Kingdom
1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,8/2/2017,9.2,One Aldwych, United Kingdom ,27,259,10,1,5.4,"[' Leisure trip ', ' Group ', ' Aldwych Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5117832,-0.1194172,United Kingdom
1 Avenue Carnot 17th arr 75017 Paris France,6/28/2017,8.9,Splendid Etoile, Switzerland ,50,486,3,3,7.5,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",36 days,48.874707,2.2936761,France
